model,number_of_states,number_of_inputs,complexity,learning_rounds,learn_resets,learn_steps,test_resets,test_steps,extension_rule,separation_rule,time
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,159,545,0,0,Nothing,SepSeq,0.004246188000024631
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,159,545,0,0,Nothing,SepSeq,0.004290258999844809
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,144,471,0,0,Nothing,SepSeq,0.004712231999974392
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,475,0,0,Nothing,SepSeq,0.0036011939998843445
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,144,471,0,0,Nothing,SepSeq,0.004614288000084343
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,159,545,0,0,Nothing,SepSeq,0.004293437000114864
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,159,545,0,0,Nothing,SepSeq,0.004251963999877262
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,144,471,0,0,Nothing,SepSeq,0.004595512000150848
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,475,0,0,Nothing,SepSeq,0.003623402999892278
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,144,471,0,0,Nothing,SepSeq,0.004699854000136838
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,159,545,0,0,Nothing,SepSeq,0.004262018999952488
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,159,545,0,0,Nothing,SepSeq,0.004230578000033347
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,144,471,0,0,Nothing,SepSeq,0.004665780000095765
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,475,0,0,Nothing,SepSeq,0.0036754719999407826
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,144,471,0,0,Nothing,SepSeq,0.004662629999984347
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,159,545,0,0,Nothing,SepSeq,0.004262741000047754
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,159,545,0,0,Nothing,SepSeq,0.00418677600009687
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,144,471,0,0,Nothing,SepSeq,0.004724441999996998
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,475,0,0,Nothing,SepSeq,0.003646216000106506
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,144,471,0,0,Nothing,SepSeq,0.004682285999933811
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,159,545,0,0,Nothing,SepSeq,0.0042269260000011855
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,159,545,0,0,Nothing,SepSeq,0.004284773000108544
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,144,471,0,0,Nothing,SepSeq,0.004682349000177055
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,475,0,0,Nothing,SepSeq,0.003650110000080531
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,144,471,0,0,Nothing,SepSeq,0.004651344999956564
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,159,545,0,0,Nothing,SepSeq,0.004318375000138985
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,159,545,0,0,Nothing,SepSeq,0.004301934000068286
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,144,471,0,0,Nothing,SepSeq,0.004599131999839301
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,475,0,0,Nothing,SepSeq,0.0036666409998815652
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003480024000054982
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003525966000097469
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003607590000001437
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003493688999924416
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0035736990000714286
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0035123420000218175
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003544828000030975
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0034432200000082958
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0035572809999848687
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0035150500000327156
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003540861999908884
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003520595000054527
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003547702999867397
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0035058139999364357
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003557044999979553
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0034966559999247693
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0035853930000939727
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003516201000138608
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0035598980000486335
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0035180300001229625
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0035748159998547635
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.0035561729998789815
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003522548000091774
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,0,0,SepSeq,SepSeq,0.003528381000023728
