model,number_of_states,number_of_inputs,complexity,learning_rounds,learn_queries,learn_steps,test_queries,test_steps,time
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.649729083001148
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6533476660260931
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6463976779778022
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6494463330018334
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6430839129898231
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.673612728016451
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6687776800245047
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6626934119849466
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6467704079987016
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6396503759897314
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6406232150038704
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6498776419903152
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6463290200044867
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6475319640012458
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6420454609906301
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6393223259947263
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6487925379769877
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6460624350002035
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6604889459849801
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6609664999996312
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6560398520086892
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6659470380109269
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6535658310167491
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6547364959842525
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.649534094001865
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6441995360073633
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6405558219994418
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6442006440192927
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6539669889898505
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6609888499951921
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6460117389797233
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6493855509907007
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6460381479992066
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6584325750009157
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.656747089989949
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6449339170067105
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6468802940216847
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6421118840225972
