model,number_of_states,number_of_inputs,complexity,learning_rounds,learn_resets,learn_steps,test_resets,test_steps,extension_rule,seperation_rule,time
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,22375,121980,Nothing,SepSeq,0.0740326980012469
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,22374,121974,Nothing,SepSeq,0.07125954300136073
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,146,476,22374,121975,Nothing,SepSeq,0.06389268999919295
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,146,476,22377,121987,Nothing,SepSeq,0.06995190900124726
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,22379,121995,Nothing,SepSeq,0.07511271899784333
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,146,476,22375,121979,Nothing,SepSeq,0.07611632100088173
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,22376,121982,Nothing,SepSeq,0.06756601800225326
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,144,471,22375,121979,Nothing,SepSeq,0.06893053699968732
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,146,476,22375,121979,Nothing,SepSeq,0.06835360800323542
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,146,476,22374,121976,Nothing,SepSeq,0.07500254799742834
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,22382,122008,Nothing,SepSeq,0.06768990899945493
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,108,363,22375,121979,SepSeq,SepSeq,0.06161746300131199
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,73,224,22374,121976,SepSeq,SepSeq,0.06437455199920805
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,108,363,22381,122004,SepSeq,SepSeq,0.06031007099954877
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,22376,121982,SepSeq,SepSeq,0.06621247499788296
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,109,366,22381,122004,SepSeq,SepSeq,0.06665646600231412
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,22377,121986,SepSeq,SepSeq,0.0653085869998904
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,22381,122004,SepSeq,SepSeq,0.06189376799738966
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,22376,121983,SepSeq,SepSeq,0.06583601999955135
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,22382,122008,SepSeq,SepSeq,0.06168434499704745
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,22374,121974,SepSeq,SepSeq,0.06803083300110302
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,108,363,22377,121987,SepSeq,SepSeq,0.061198617000627564
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,22378,121992,SepSeq,SepSeq,0.06401574600022286
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,74,226,22375,121979,SepSeq,SepSeq,0.059998059001372894
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,22382,122007,SepSeq,SepSeq,0.06533397399834939
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,22377,121986,SepSeq,SepSeq,0.06041841300248052
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,73,224,22378,121990,SepSeq,SepSeq,0.06449449199863011
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,108,363,22378,121989,SepSeq,SepSeq,0.060073569999076426
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,22374,121974,SepSeq,SepSeq,0.06495810799970059
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,107,361,22378,121990,SepSeq,SepSeq,0.06372941000154242
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,359,22375,121979,SepSeq,SepSeq,0.06443231999946875
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,108,363,22383,122011,SepSeq,SepSeq,0.0618719060003059
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,22374,121974,SepSeq,SepSeq,0.06589873199845897
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,107,361,22381,122003,SepSeq,SepSeq,0.06313958399914554
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,106,356,22374,121976,SepSeq,SepSeq,0.06887106000067433
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,108,363,22377,121987,SepSeq,SepSeq,0.06157710800107452
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,104,400,22380,122000,SepSeq,SepSeq,0.06386914500035346
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,121,403,22378,121992,SepSeq,SepSeq,0.06376583699966432
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,108,363,22382,122007,SepSeq,SepSeq,0.08328570300000138
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,108,363,22378,121991,SepSeq,SepSeq,0.06421575700005633
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,108,364,22375,121981,SepSeq,SepSeq,0.0631820560010965
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,109,367,22379,121997,SepSeq,SepSeq,0.06561312700068811
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,74,226,22377,121987,SepSeq,SepSeq,0.060734131999197416
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,108,363,22376,121983,SepSeq,SepSeq,0.06722014400293119
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,22379,121994,SepSeq,SepSeq,0.06135061899840366
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,108,363,22380,122000,SepSeq,SepSeq,0.06444665100207203
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,108,363,22378,121991,SepSeq,SepSeq,0.06150576700019883
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,107,361,22386,122024,SepSeq,SepSeq,0.06495765900035622
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,108,363,22380,121999,SepSeq,SepSeq,0.06239557599838008
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,101,365,22375,121980,SepSeq,SepSeq,0.06684316400060197
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,108,363,22376,121982,SepSeq,SepSeq,0.06086284499906469
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,73,224,22388,122028,SepSeq,SepSeq,0.06921148499895935
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,108,364,22375,121979,SepSeq,SepSeq,0.07520002000092063
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,89,300,22380,122000,SepSeq,SepSeq,0.07202241199775017
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,94,293,22381,122004,SepSeq,SepSeq,0.06759130200225627
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,108,363,22375,121979,SepSeq,SepSeq,0.06593785400036722
