name,learned,rounds,num_states,num_inputs,learn_inputs,learn_resets,test_inputs,test_resets,ads_score,learning_algorithm,time,seed
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,375,115,15956,3384,0,lsharp_Nothing_SepSeq,0.006825325,2950
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,413,125,9908,1984,0,lsharp_Nothing_SepSeq,0.006276457,2966
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,362,112,24776,5148,0,lsharp_Nothing_SepSeq,0.007790222,2969
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,389,122,7416,1634,0,lsharp_Nothing_SepSeq,0.005616966,2983
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,429,127,19764,4378,0,lsharp_Nothing_SepSeq,0.00778404,3044
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,440,131,14154,3149,0,lsharp_Nothing_SepSeq,0.00910147,3101
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,443,132,6974,1397,0,lsharp_Nothing_SepSeq,0.006188975,3131
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,418,127,14612,3356,0,lsharp_Nothing_SepSeq,0.008745168,3147
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,448,134,9322,2017,0,lsharp_Nothing_SepSeq,0.008042452,3169
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,455,136,10026,2363,0,lsharp_Nothing_SepSeq,0.006954831,3209
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,401,120,21864,4728,0,lsharp_Nothing_SepSeq,0.007828538,3211
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,382,116,20380,4350,0,lsharp_Nothing_SepSeq,0.007853692,3213
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,406,122,15508,2950,0,lsharp_Nothing_SepSeq,0.007081644,3235
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,455,136,11756,2782,0,lsharp_Nothing_SepSeq,0.007146135,3265
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,445,134,3160,598,0,lsharp_Nothing_SepSeq,0.005024141,3350
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,399,120,20884,4532,0,lsharp_Nothing_SepSeq,0.007975758,3383
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,441,131,7848,1608,0,lsharp_Nothing_SepSeq,0.00780293,3415
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,455,136,4140,990,0,lsharp_Nothing_SepSeq,0.005000881,3444
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,390,119,17552,3356,0,lsharp_Nothing_SepSeq,0.007181123,3496
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,415,123,25896,5596,0,lsharp_Nothing_SepSeq,0.00984322,3528
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,452,135,3552,794,0,lsharp_Nothing_SepSeq,0.006665835,3588
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,428,127,20212,4420,0,lsharp_Nothing_SepSeq,0.008785587,3658
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,432,128,11662,2407,0,lsharp_Nothing_SepSeq,0.006624768,3743
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,417,127,17356,3748,0,lsharp_Nothing_SepSeq,0.007922427,3769
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,443,132,7752,1592,0,lsharp_Nothing_SepSeq,0.005473625,3806
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,410,122,17440,3370,0,lsharp_Nothing_SepSeq,0.006686586,3809
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,414,125,12848,2768,0,lsharp_Nothing_SepSeq,0.007036764,3900
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,444,132,6706,1385,0,lsharp_Nothing_SepSeq,0.007594121,3980
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,444,132,14780,3384,0,lsharp_Nothing_SepSeq,0.006678199,4094
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,403,124,11756,2586,0,lsharp_Nothing_SepSeq,0.007496757,4179
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,392,119,18028,3958,0,lsharp_Nothing_SepSeq,0.00689287,4358
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,401,122,17440,3958,0,lsharp_Nothing_SepSeq,0.008594347,4370
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,436,130,16360,3582,0,lsharp_Nothing_SepSeq,0.006836181,4447
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,406,125,7920,1816,0,lsharp_Nothing_SepSeq,0.005862364,4467
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,443,132,14332,3342,0,lsharp_Nothing_SepSeq,0.007122626,4535
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,459,137,3440,808,0,lsharp_Nothing_SepSeq,0.005236749,4550
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,413,125,11672,2572,0,lsharp_Nothing_SepSeq,0.006373432,4588
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,364,112,16152,3188,0,lsharp_Nothing_SepSeq,0.0073447,4632
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,286,95,28724,6002,0,lsharp_Nothing_SepSeq,0.008476448,4646
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,415,123,25824,5584,0,lsharp_Nothing_SepSeq,0.010376886,4689
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,418,127,11280,2376,0,lsharp_Nothing_SepSeq,0.005761584,4782
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,413,127,8424,1802,0,lsharp_Nothing_SepSeq,0.00628145,4845
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,373,116,21836,4560,0,lsharp_Nothing_SepSeq,0.007649131,4948
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,383,118,13800,2992,0,lsharp_Nothing_SepSeq,0.006027769,5102
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,462,138,9074,2237,0,lsharp_Nothing_SepSeq,0.008053865,5409
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,364,112,13156,2558,0,lsharp_Nothing_Ads,0.032253973,81
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,385,117,10978,2391,0,lsharp_Nothing_Ads,0.014019752,100
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,361,110,20800,4518,0,lsharp_Nothing_Ads,0.029101166,158
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,457,132,10020,2166,0,lsharp_Nothing_Ads,0.014650748,216
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,348,108,14892,3174,0,lsharp_Nothing_Ads,0.02774602,245
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,390,119,14098,3205,0,lsharp_Nothing_Ads,0.018079125,359
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,411,121,19596,4350,0,lsharp_Nothing_Ads,0.027121709,366
